tweet_id	emoji_position	Tweet Sent Emoji_A1	Tweet Sent Emoji_A2	Tweet Sent Emoji_A3
697061232810008576	1	Positive	Positive	Positive
697147578631221249	1	Positive	Positive	Positive
697156694799970304	1	Neutral	Negative	Negative
697166947587330048	1	Positive	Negative	Negative
697181575344230402	1	Positive	Positive	Positive
697181575344230402	2	Positive	Positive	Positive
697181575344230402	3	Positive	Positive	Positive
697202843220979712	1	Positive	Positive	Positive
697202843220979712	2	Positive	Positive	Positive
697202843220979712	3	Positive	Positive	Positive
697228563255160832	1	Positive	Positive	Positive
697234123396616197	2	Topic	Topic	Topic
697234123396616197	1	Topic	Topic	Topic
697261608721129473	1	Negative	Negative	Negative
697261608721129473	2	Negative	Negative	Negative
697279608983388161	1	Positive	Negative	Negative
697313900161675264	1	Positive	Negative	Negative
697354168801955841	1	Positive	Positive	Positive
697406932949184512	1	Positive	Positive	Positive
697415047346139136	1	Positive	Positive	Positive
697420382731694080	1	Positive	Negative	Neutral
697427789591531522	1	Positive	Topic	Positive
697430058261041152	1	Negative	Negative	Negative
697440916118745088	1	Positive	Positive	Positive
697442855984373760	1	Positive	Positive	Positive
697448317345595393	1	Positive	Positive	Positive
697468511753375744	1	Positive	Negative	Negative
697471741959020544	1	Positive	Positive	Positive
697478336294088704	1	Positive	Positive	Positive
697483017061855232	1	Positive	Positive	Positive
697484456421011456	1	Negative	Negative	Negative
697507764520644608	1	Negative	Negative	Negative
697508808948584448	1	Positive	Topic	Topic
697510448460124160	1	Positive	Positive	Positive
697517575283073028	1	Positive	Positive	Positive
697524006195503105	1	Negative	Negative	Negative
697527676312100864	1	Positive	Positive	Neutral
697552023055527936	1	Positive	Positive	Positive
697567533914791941	1	Topic	Topic	Topic
697594441457016833	1	Positive	Positive	Positive
697594441457016833	2	Positive	Positive	Positive
697596195036790784	1	Topic	Topic	Neutral
697596195036790784	2	Topic	Topic	Neutral
697611956346204160	1	Neutral	Positive	Positive
697624844645457924	1	Positive	Positive	Positive
697677863848271872	1	Positive	Positive	Positive
697686739507408896	1	Neutral	Positive	Positive
697695936613523457	1	Positive	Positive	Positive
697719564344258560	1	Neutral	Neutral	Neutral
697722554618814464	1	Positive	Positive	Positive
697722554618814464	2	Positive	Positive	Positive
697722554618814464	3	Positive	Positive	Positive
697734164468994048	1	Positive	Positive	Positive
697734164468994048	2	Positive	Positive	Positive
697738869870092288	1	Positive	Positive	Positive
697740181839831040	1	Negative	Negative	Negative
697746577193050113	1	Positive	Positive	Positive
697755806931009536	1	Neutral	Neutral	Neutral
697756849240698880	1	Positive	Positive	Positive
697763245709365248	1	Topic	Topic	Topic
697764727359864832	1	Positive	Positive	Positive
697779260526825472	1	Positive	Positive	Positive
697781846495526914	1	Positive	Positive	Positive
697781846495526914	2	Positive	Positive	Positive
697781846495526914	3	Positive	Positive	Positive
697783962811273216	1	Negative	Negative	Negative
697791894240100352	1	Positive	Positive	Positive
697806582671773697	1	Positive	Positive	Positive
697812663754166272	1	Positive	Positive	Positive
697812663754166272	2	Positive	Positive	Positive
697820694541901824	1	Topic	Topic	Positive
697824990939340802	1	Neutral	Neutral	Positive
697824990939340802	2	Neutral	Neutral	Positive
697832388605313024	1	Positive	Positive	Positive
697833020565229568	1	Negative	Negative	Negative
697837803330277376	1	Topic	Topic	Topic
697840796330921984	1	Positive	Positive	Positive
697847101019979778	1	Positive	Positive	Positive
697880930556473345	1	Positive	Positive	Positive
697880930556473345	2	Positive	Positive	Positive
697882341604270080	1	Positive	Positive	Positive
697889140000497664	1	Positive	Positive	Positive
697889140000497664	2	Positive	Positive	Positive
697889594079973377	1	Negative	Negative	Negative
697889594079973377	2	Negative	Negative	Negative
697905929694670848	1	Topic	Topic	Topic
697910036828450818	1	Positive	Positive	Positive
697916500775141376	1	Positive	Positive	Positive
697939629828415488	1	Positive	Positive	Positive
697941990932094977	1	Negative	Negative	Negative
697950637108105216	1	Neutral	Neutral	Neutral
697964081366470657	1	Negative	Negative	Negative
697964081366470657	2	Negative	Negative	Negative
697972736623300608	1	Positive	Positive	Positive
697972736623300608	2	Positive	Positive	Positive
697973800911138816	1	Positive	Positive	Positive
697984360650158080	1	Positive	Positive	Neutral
697984360650158080	2	Positive	Positive	Neutral
697984360650158080	3	Positive	Positive	Neutral
697990044011790336	1	Topic	Topic	Topic
697990044011790336	2	Topic	Topic	Topic
697992269144715265	1	Positive	Positive	Neutral
697992446450536448	1	Positive	Positive	Positive
698006741686988802	1	Negative	Negative	Negative
698007574667522048	1	Topic	Topic	Neutral
698009200631291904	1	Negative	Negative	Negative
698023715750023169	1	Positive	Positive	Positive
698026276460728321	1	Positive	Positive	Positive
698026276460728321	2	Positive	Positive	Positive
698028096939667458	1	Positive	Positive	Positive
698033100127756289	1	Positive	Positive	Positive
698035467162382336	1	Neutral	Neutral	Positive
698035467162382336	2	Neutral	Neutral	Positive
698035467162382336	3	Neutral	Neutral	Positive
698040147229569024	1	Negative	Negative	Negative
698040990783778816	1	Negative	Negative	Negative
698043767396274176	1	Positive	Positive	Negative
698043767396274176	2	Positive	Positive	Negative
698043767396274176	3	Positive	Positive	Negative
698045676135927808	1	Topic	Topic	Topic
698045676135927808	2	Topic	Topic	Topic
698054143097839616	1	Positive	Positive	Positive
698068525370384384	1	Positive	Positive	Positive
698070907844034560	1	Positive	Positive	Positive
698070907844034560	2	Positive	Positive	Positive
698081774518276096	1	Neutral	Neutral	Positive
698081774518276096	2	Neutral	Neutral	Positive
698086819846434816	1	Positive	Positive	Positive
698088244932583424	1	Positive	Positive	Positive
698105581119283200	1	Positive	Positive	Positive
698105896291831808	1	Topic	Topic	Topic
698128584922177536	1	Negative	Negative	Negative
698128584922177536	2	Negative	Negative	Negative
698131596730175488	1	Positive	Positive	Positive
698134110934437893	1	Positive	Negative	Negative
698134110934437893	2	Positive	Negative	Negative
698136014741729281	1	Topic	Topic	Neutral
698137151519662080	1	Positive	Positive	Positive
698155812909264896	1	Positive	Positive	Positive
698155812909264896	2	Positive	Positive	Positive
698156636247093248	1	Neutral	Neutral	Neutral
698161665481838592	1	Positive	Positive	Positive
698168168494338048	1	Topic	Topic	Negative
698169225156960256	1	Positive	Positive	Positive
698171259729924096	1	Positive	Positive	Positive
698172168618684417	1	Neutral	Positive	Positive
698190714975449088	1	Positive	Positive	Positive
698190714975449088	2	Positive	Positive	Positive
698201694040150017	1	Positive	Positive	Positive
698216389631459328	1	Positive	Positive	Topic
698217713039085568	1	Negative	Negative	Negative
698218810080432128	1	Positive	Positive	Positive
698226178059010049	1	Positive	Positive	Positive
698229073911402496	1	Topic	Topic	Topic
698229073911402496	2	Topic	Topic	Topic
698231827274801153	1	Positive	Positive	Positive
698232042107092992	1	Neutral	Positive	Positive
698234793163649025	1	Positive	Positive	Positive
698234793163649025	2	Positive	Positive	Positive
698240030968573952	1	Topic	Topic	Topic
698256658095427586	1	Neutral	Neutral	Topic
698258892682346496	1	Positive	Positive	Positive
698261093240668161	1	Neutral	Positive	Positive
698261093240668161	2	Neutral	Positive	Positive
698271074958647297	1	Positive	Positive	Positive
698275125657890816	1	Topic	Topic	Topic
698275125657890816	2	Topic	Topic	Topic
698278276465184768	1	Positive	Positive	Positive
698285318622027776	1	Negative	Negative	Negative
698289171312570368	1	Positive	Positive	Positive
698289171312570368	2	Positive	Positive	Positive
698289171312570368	3	Positive	Positive	Positive
698289278888050689	1	Topic	Positive	Positive
698289878962978817	1	Positive	Positive	Positive
698291969269878785	1	Positive	Positive	Positive
698299323428294657	1	Neutral	Topic	Topic
698299622314344449	1	Neutral	Neutral	Neutral
698299622314344449	2	Neutral	Neutral	Neutral
698310243030327296	1	Positive	Positive	Positive
698310546744045568	1	Topic	Positive	Topic
698310546744045568	2	Topic	Positive	Topic
698313167429115904	1	Positive	Positive	Topic
698316207406116865	1	Negative	Negative	Negative
698318506979434496	1	Positive	Positive	Positive
698318654409019392	1	Topic	Topic	Topic
698319085944336384	1	Positive	Positive	Negative
698326990550659073	1	Positive	Positive	Positive
698335515138007041	1	Positive	Positive	Topic
698338043711897601	1	Positive	Positive	Positive
698339170960408579	1	Positive	Positive	Positive
698345316299354112	1	Positive	Positive	Positive
698345732806303745	1	Negative	Negative	Negative
698351439685378048	1	Neutral	Negative	Positive
698351924089753600	1	Positive	Positive	Positive
698352313887432704	1	Positive	Positive	Positive
698354665746878464	1	Topic	Positive	Neutral
698357775169167360	1	Neutral	Negative	Negative
698357775169167360	2	Neutral	Negative	Negative
698357775169167360	3	Neutral	Negative	Negative
698357775169167360	4	Neutral	Negative	Negative
698357775169167360	5	Neutral	Negative	Negative
698358422425747457	1	Neutral	Neutral	Neutral
698371353905385472	1	Positive	Positive	Positive
698372342259388416	1	Positive	Positive	Positive
698377276841336832	1	Positive	Topic	Positive
698379344712839168	1	Neutral	Topic	Topic
698379344712839168	2	Neutral	Topic	Topic
698379344712839168	3	Neutral	Topic	Topic
698383879032299520	1	Neutral	Neutral	Neutral
698383879032299520	2	Neutral	Neutral	Neutral
698391750285660160	1	Positive	Positive	Positive
698406581151649792	1	Positive	Positive	Positive
698417417777614848	1	Positive	Positive	Positive
698417564284661762	1	Positive	Positive	Positive
698420065692098561	1	Positive	Positive	Positive
698424511943700482	2	Neutral	Neutral	Neutral
698424511943700482	1	Neutral	Neutral	Neutral
698425842024603648	1	Neutral	Neutral	Positive
698426609842257920	1	Positive	Positive	Positive
698438853019828224	1	Topic	Topic	Topic
698440415729618945	1	Positive	Positive	Positive
698442902582591488	1	Neutral	Topic	Topic
698443916807286784	1	Positive	Positive	Positive
698454003999322112	1	Positive	Positive	Positive
698454003999322112	2	Positive	Positive	Positive
698470072478617600	1	Positive	Positive	Positive
698470072478617600	2	Positive	Positive	Positive
698470072478617600	3	Positive	Positive	Positive
698496513861820420	1	Negative	Negative	Negative
698498375830913024	1	Positive	Positive	Positive
698507330955022336	1	Positive	Positive	Positive
698508890036576257	1	Negative	Negative	Negative
698512234289328128	1	Positive	Positive	Positive
698516108546932741	1	Topic	Topic	Topic
698529730052513792	1	Negative	Negative	Negative
698537162841595905	1	Topic	Topic	Topic
698540161731272704	1	Positive	Positive	Positive
698540161731272704	1	Negative	Negative	Neutral
698540161731272704	2	Negative	Negative	Neutral
698540161731272704	3	Negative	Negative	Neutral
698544656955654145	4	Negative	Negative	Neutral
698544656955654145	2	Positive	Positive	Positive
698544656955654145	3	Positive	Positive	Positive
698545328392286208	1	Positive	Positive	Positive
698546104732938244	1	Positive	Positive	Positive
698557184674672640	1	Positive	Positive	Positive
698557211337838592	1	Positive	Positive	Positive
698572958176931840	1	Positive	Positive	Positive
698591493603389441	1	Positive	Positive	Positive
698595618634076160	1	Positive	Positive	Positive
698597232875016193	1	Negative	Negative	Positive
698598222948917248	1	Positive	Positive	Positive
698606586198151168	1	Positive	Positive	Positive
698632051327692800	1	Positive	Positive	Positive
698635825819422720	1	Positive	Positive	Positive
698641052773834753	1	Positive	Positive	Positive
698641052773834753	2	Negative	Negative	Neutral
698643363650646016	1	Negative	Negative	Neutral
698671856316862465	1	Positive	Neutral	Neutral
698672384413282304	1	Negative	Negative	Negative
698672467498258432	1	Positive	Positive	Positive
698688446798434304	1	Negative	Negative	Negative
698688446798434304	2	Negative	Negative	Negative
698698749871329280	1	Negative	Negative	Negative
698701149193445377	1	Topic	Topic	Topic
698701271037927424	1	Positive	Positive	Positive
698705299327291392	1	Positive	Positive	Positive
698729910995537920	1	Positive	Positive	Positive
698733259090325505	1	Topic	Topic	Topic
698755199100268544	1	Positive	Positive	Positive
698762096389988352	1	Positive	Positive	Positive
698769011115425792	1	Negative	Negative	Negative
698805051276582912	1	Positive	Positive	Positive
698812392453451776	1	Positive	Positive	Positive
698812392453451776	2	Positive	Positive	Neutral
698815582997590017	1	Positive	Positive	Neutral
698815806830964740	1	Positive	Positive	Positive
698815806830964740	2	Positive	Positive	Positive
698825110849871872	1	Positive	Positive	Positive
698825110849871872	2	Positive	Topic	Positive
698841808621674496	1	Positive	Topic	Positive
698849574358650880	1	Positive	Positive	Positive
698855847451975680	1	Neutral	Neutral	Neutral
698866290476224516	1	Negative	Negative	Negative
698870948674605056	1	Positive	Positive	Positive
698870948674605056	1	Neutral	Positive	Positive
698870948674605056	2	Neutral	Positive	Positive
698870948674605056	3	Neutral	Positive	Positive
698871012771958784	4	Neutral	Positive	Positive
698871012771958784	1	Positive	Positive	Positive
698874305615044608	2	Positive	Positive	Positive
698875277753999361	1	Positive	Positive	Positive
698877685871857664	1	Neutral	Positive	Positive
698883156653412353	1	Positive	Positive	Positive
698885444172255232	1	Positive	Positive	Positive
698891809691316225	1	Negative	Negative	Negative
698893906193285120	1	Positive	Positive	Positive
698897395057356801	1	Positive	Positive	Positive
698897395057356801	2	Positive	Positive	Positive
698899387494244354	1	Positive	Positive	Positive
698899387494244354	1	Positive	Positive	Positive
762320231696101376	1	Topic	Topic	Topic
762321788000997376	1	Positive	Positive	Positive
762321788000997376	2	Positive	Positive	Positive
762322491503153153	1	Negative	Negative	Negative
762322491503153153	2	Negative	Negative	Negative
762324838514102272	1	Neutral	Topic	Topic
762325412680577025	1	Positive	Neutral	Neutral
762326335314202624	1	Positive	Positive	Positive
762329474222419968	1	Positive	Positive	Positive
762329612185501697	1	Topic	Topic	Topic
762334844542148608	1	Positive	Positive	Negative
762336488021331969	1	Neutral	Positive	Positive
762336488021331969	2	Neutral	Positive	Positive
762336488021331969	1	Neutral	Positive	Positive
762336488021331969	2	Neutral	Positive	Positive
762337535196475392	1	Positive	Positive	Positive
762337772262690816	1	Positive	Positive	Positive
762340377236037632	1	Positive	Positive	Positive
762343047971508225	1	Topic	Topic	Topic
762350700139384832	1	Topic	Topic	Topic
762351794802393088	1	Positive	Positive	Positive
762351884833288192	1	Positive	Positive	Positive
762353612576010240	1	Positive	Positive	Positive
762353612576010240	2	Positive	Positive	Positive
762353612576010240	3	Positive	Positive	Positive
762355103122599937	1	Positive	Positive	Neutral
762364962073350144	1	Neutral	Neutral	Neutral
762365395810549760	1	Positive	Positive	Positive
762367758285742080	1	Topic	Positive	Positive
762371090807033856	1	Positive	Positive	Positive
762375215858888705	1	Positive	Positive	Positive
762378182406397952	1	Positive	Positive	Neutral
762378372345462784	1	Neutral	Topic	Topic
762378407392993280	1	Positive	Positive	Positive
762379206865158145	1	Positive	Positive	Neutral
762383684670484480	1	Positive	Positive	Positive
762389960389455872	1	Neutral	Neutral	Positive
762389960389455872	2	Neutral	Neutral	Positive
762389960389455872	4	Neutral	Neutral	Positive
762389960389455872	3	Neutral	Neutral	Positive
762390028060336128	1	Positive	Positive	Neutral
762393898585038848	1	Neutral	Positive	Positive
762393898585038848	2	Neutral	Positive	Positive
762402328607494144	1	Positive	Positive	Positive
762408883541254144	1	Negative	Negative	Neutral
762409331467825152	1	Negative	Negative	Negative
762409331467825152	2	Negative	Negative	Negative
762410103945428992	1	Positive	Positive	Positive
762410103945428992	2	Positive	Positive	Positive
762410863215177728	1	Positive	Positive	Positive
762411982758686721	1	Topic	Topic	Topic
762412645324435456	1	Topic	Topic	Positive
762419769513353216	1	Positive	Positive	Positive
762419769513353216	2	Positive	Positive	Positive
762421248064311298	1	Topic	Topic	Topic
762421678198534144	1	Positive	Positive	Negative
762427918655950850	1	Topic	Topic	Positive
762432316740296704	1	Topic	Topic	Topic
762432450127507456	1	Positive	Positive	Positive
762434097851486208	1	Topic	Positive	Topic
762434183604019201	1	Neutral	Neutral	Neutral
762435131386703872	1	Positive	Positive	Positive
762435131386703872	2	Positive	Positive	Positive
762436311072378881	1	Positive	Positive	Positive
762438895384440833	1	Positive	Positive	Neutral
762439041606258689	1	Topic	Positive	Positive
762440612708618241	1	Neutral	Negative	Negative
762454119353167872	1	Positive	Positive	Positive
762454119353167872	2	Positive	Positive	Positive
762454119353167872	3	Positive	Positive	Positive
762458148275748864	1	Positive	Positive	Positive
762473121295110145	1	Negative	Negative	Neutral
762477476295512064	1	Positive	Positive	Topic
762480012163375105	1	Positive	Positive	Positive
762481878033018883	1	Positive	Neutral	Positive
762481878033018883	2	Positive	Neutral	Positive
762481878033018883	3	Positive	Neutral	Positive
762481878033018883	4	Positive	Neutral	Positive
762481878033018883	5	Positive	Neutral	Positive
762483235020353538	1	Topic	Positive	Positive
762487609176182786	1	Positive	Positive	Positive
762487609176182786	2	Positive	Positive	Positive
762500556342591488	1	Positive	Positive	Positive
762502533189206017	1	Positive	Negative	Neutral
762503375824879619	1	Positive	Positive	Positive
762504600200974336	1	Topic	Topic	Topic
762504619373105152	1	Positive	Positive	Positive
762508063433641985	1	Neutral	Neutral	Neutral
