tweet_id	tweet_text	user_id	keyword	emotion_A1	Irony_A1	Implicit-Explicit_A1	Subjectivity_A1	Tweet Sentiment_A1	emotion_A2	Irony_A2	Implicit-Explicit_A2	Subjectivity_A2	Tweet Sentiment_A2	emotion_A3	Irony_A3	Implicit-Explicit_A3	Subjectivity_A3	Tweet Sentiment_A3
697021002379890689	#MARVEL #COMICS Deadpool & the Mercs for Money #1 Hip Hop Variant Cover (VF/NM) condition:  C $0.70 (0... https://t.co/RZygAIIOYl #Canada	2873144464	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697026986795872256	#HughJackman Plays Coy on Possible Wolverine Cameo in Deadpool... https://t.co/xr64jVUkk3	2603224578	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697027997824638976	Blake Lively and Ryan Reynolds attend the 'Deadpool' fan event at AMC Empire Theatre on February 8,  https://t.co/s3Qga9RbY2	17637890	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697035441153953792	Really hope Deadpool is still showing when I get back to England in March. I mean, it should be, for me, right? For them chimichongas!	196255919	deadpool	anticipation	Not Ironic	Implicit	Subjective	Positive	fear	Not Ironic	None	Objective	None	anticipation	Not Ironic	Implicit	Subjective	Positive
697038361857396736	deadpool here, deadpool there. okay.	271503690	deadpool	None	Not Ironic	None	Objective	None	surprise	Not Ironic	Implicit	Subjective	Neutral	disgust	Not Ironic	Implicit	Subjective	Negative
697040884915965953	RT @TinaTurnbowMUP: Last night at the #deadpool premiere #NYC #beauty chelseycrisp and her #sparkling #smile #hair… https://t.co/BrxDL17O97	1548981439	deadpool	None	Not Ironic	None	Objective	None	joy	Not Ironic	Explicit	Subjective	Positive	None	Not Ironic	None	Objective	None
697044015825428480	Am I trippin or does it look like Red skull in Deadpool trailer?  They ain't rivals are they? Skull is captain America's arch right?	64127259	deadpool	None	Not Ironic	Implicit	Subjective	Neutral	surprise	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697046818954162176	DEADPOOL tomorrow	277885838	deadpool	anticipation	Not Ironic	Implicit	Subjective	Positive	None	Not Ironic	Implicit	Subjective	Positive	anticipation	Not Ironic	Implicit	Subjective	Positive
697050284854419458	RT @AntCao_: Deadpool is a must on Friday	2891655826	deadpool	joy	Not Ironic	Explicit	Subjective	Positive	None	Not Ironic	Explicit	Subjective	Positive	joy	Not Ironic	Implicit	Subjective	Positive
697053785429045249	Everything You Need to Know About Deadpool, Ryan Reynolds' Badass New Superhero Movie - E! Online via https://t.co/tZ08VkQXOL	2469038124	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697061232810008576	Tips for watch Deadpool : Watch with your love one. &#x263a;&#xfe0f;	79336818	deadpool	joy	Not Ironic	Explicit	Subjective	Neutral	joy	Not Ironic	Explicit	Subjective	Positive	joy	Not Ironic	Implicit	Subjective	Positive
697061430982348800	Everything you need to know about Deadpool before 'Deadpool' - CNET https://t.co/SojOnoVJlF #IEEE #IEEEGreen	191396911	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697062121780158464	“I’m about to do to you what Limp Bizkit did to music in the late '90s.” Bleh: https://t.co/NwKTLWUHS8 #Deadpool https://t.co/7uUB38BDsW	21789573	deadpool	None	Not Ironic	None	Objective	None	disgust	Ironic	Explicit	Subjective	Negative	disgust	Ironic	Implicit	Subjective	Negative
697063948403785730	I'm gonna get into deadpool now tbh https://t.co/IQzX4djzrj	2970841557	deadpool	anticipation	Not Ironic	Implicit	Subjective	Positive	None	Not Ironic	Implicit	Subjective	Positive	anticipation	Not Ironic	Implicit	Subjective	Positive
697068773770141696	The Unlikely Origins of Deadpool, The X-Men Character Who Conquered All Media https://t.co/Zhb3e75AKz https://t.co/xQIgp0tYzD	23404296	deadpool	None	Not Ironic	Implicit	Subjective	Positive	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697077917365485568	@Mayo360Group Buzz: Deadpool vs. Deadpool https://t.co/PbfEVOPyBp https://t.co/cU7D70mlzY	361062387	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697079619837673472	How to get deadpool on lego marvel: https://t.co/Lvm7kRAGII via @YouTube	2996400754	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697091406494433281	Blake Lively And Ryan Reynolds Redefine Relationship Goals At Deadpool Fan Event: Blake Lively and Ryan Reynol... https://t.co/vIuePVmwd4	81853924	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697098120040087552	Th man deadpool	1460863093	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	Implicit	Subjective	Positive	surprise	Not Ironic	Implicit	Subjective	Positive
697098751836606464	RT @svsucrushes2: My Valentine is Ryan Reynolds #Deadpool	352372421	deadpool	joy	Not Ironic	Implicit	Subjective	Positive	joy	Not Ironic	Explicit	Subjective	Positive	joy	Not Ironic	Implicit	Subjective	Positive
697100780487114752	'Deadpool' Stars Reveal Their Geeky Sides - https://t.co/Tz9jnmxklo https://t.co/Yd6eWdV2f9	133724581	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697106061241626624	RT @AdamRSteigert: Horror friend! We've been working hard on the full trailer for #STAR! Should we go full deadpool Redband?	296252211	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	Implicit	Subjective	Positive	None	Not Ironic	None	Objective	None
697111080305238016	Tak suka ryan reynolds therefore not going to see deadpool	1307204838	deadpool	disgust	Not Ironic	Implicit	Subjective	Negative	disgust	Not Ironic	Explicit	Subjective	Negative	disgust	Not Ironic	Implicit	Subjective	Negative
697111399718350849	@RestingPlatypus Deadpool comes out this week. How excited are you?	341327554	deadpool	joy	Not Ironic	Implicit	Subjective	Positive	joy	Not Ironic	Implicit	Subjective	Positive	None	Not Ironic	None	Objective	None
697126321638416384	Deadpool Almost Featured Kane From X-Force, According To Rob Liefeld - https://t.co/uWq3NOYix9 #Deadpool #XForce https://t.co/UafYQSiC9P	160664621	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
697129999695011840	RT @Michael_loz19: Public Service Announcement: #DEADPOOL COMES OUT IN TWO DAYS !!!@robertliefeld	16160446	deadpool	anticipation	Not Ironic	Implicit	Subjective	Positive	joy	Not Ironic	Implicit	Subjective	Positive	anticipation	Not Ironic	Implicit	Subjective	Positive
697130869501337600	@Ma1kavian @NightSong89 if we have most likes we will win tickets to see deadpool and romantic dinner :) <3, thank you!	600638142	deadpool	None	Not Ironic	Implicit	Subjective	Neutral	None	Not Ironic	Explicit	Subjective	Positive	anticipation	Not Ironic	Implicit	Subjective	Positive
697131452270391296	RT @Guillaumel87: How Budget Limitations Helped have Gina Carano in Deadpool https://t.co/1DFoJ8Mjj8	52441523	deadpool	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None	None	Not Ironic	None	Objective	None
